KECAMATAN;P;L;Total
GAMPING;46.471;45.828;92.299
GODEAN;35.633;34.889;70.522
MOYUDAN;17.524;17.860;35.384
MINGGIR;16.929;17.480;34.409
SEYEGAN;25.343;25.488;50.831
MLATI;45.037;44.629;89.666
DEPOK;62.577;60.860;123.437
BERBAH;28.490;28.419;56.909
PRAMBANAN;27.343;27.074;54.417
KALASAN;43.058;41.677;84.735
NGEMPLAK;29.926;30.199;60.125
NGAGLIK;48.058;47.545;95.603
SLEMAN;34.895;34.836;69.731
TEMPEL;27.264;27.143;54.407
TURI;18.640;18.552;37.192
PAKEM;18.641;18.896;37.537
CANGKRINGAN;15.748;16.101;31.849
